[DRIVER]: NOR [PRED]: [[1.77]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
driverId_842.0-num_fast_corners    -0.229416       0.008551
driverId_862.0-strt_len_min        -0.229416       0.014733
driverId_4.0-num_fast_corners      -0.229416       0.014788
driverId_864.0-num_slow_corners    -0.229416       0.046982
driverId_840.0-num_slow_corners    -0.229416       0.063965
driverId_4.0-num_slow_corners      -0.229416       0.085657
driverId_1.0-strt_len_min          -0.229416       0.111830
prev_driver_points_prop            -0.248710       2.862873

[DRIVER]: VER [PRED]: [[6.1]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
prev_driver_points_prop             1.200602      -6.273829
driverId_830.0-num_fast_corners     4.358899      -0.553604
driverId_1.0-num_med_corners       -0.229416      -0.113317
driverId_844.0-strt_len_min        -0.229416       0.002759
driverId_846.0-strt_len_min        -0.229416       0.007656
driverId_1.0-strt_len_min          -0.229416       0.011818
driverId_844.0-num_slow_corners    -0.229416       0.021736
driverId_847.0-num_slow_corners    -0.229416       0.047972
prev_construct_points_prop          0.238583       2.707124

[DRIVER]: ANT [PRED]: [[14.46]] [BIAS]: [10.24168421]
---                                 Input Value  Feature Score
driverId_848.0-num_slow_corners    -0.229416      -0.149912
driverId_807.0-corner_spd_min      -0.229416      -0.141270
driverId_852.0-num_slow_corners    -0.229416      -0.128142
driverId_807.0-num_slow_corners    -0.229416      -0.088166
driverId_839.0-strt_len_min        -0.229416      -0.077442
driverId_832.0-strt_len_median     -0.229416      -0.073706
driverId_807.0-strt_len_min        -0.229416      -0.063523
driverId_839.0-num_slow_corners    -0.229416      -0.051071
driverId_852.0-strt_len_min        -0.229416      -0.033620
driverId_860.0-strt_len_min        -0.229416      -0.032466
driverId_840.0-strt_len_min        -0.229416      -0.028531
driverId_842.0-num_slow_corners    -0.229416      -0.021889
driverId_860.0-num_fast_corners    -0.229416      -0.011599
driverId_840.0-num_fast_corners    -0.229416      -0.009384
driverId_864.0-num_fast_corners    -0.229416      -0.008556
driverId_1.0-num_med_corners       -0.229416      -0.007051
driverId_832.0-strt_len_min        -0.229416       0.001999
driverId_842.0-strt_len_min        -0.229416       0.003800
driverId_4.0-num_fast_corners      -0.229416       0.004479
driverId_862.0-num_fast_corners    -0.229416       0.007543
driverId_864.0-strt_len_min        -0.229416       0.010853
driverId_842.0-num_fast_corners    -0.229416       0.010987
driverId_862.0-strt_len_min        -0.229416       0.011017
driverId_852.0-num_fast_corners    -0.229416       0.015494
driverId_864.0-num_slow_corners    -0.229416       0.053036
driverId_840.0-num_slow_corners    -0.229416       0.072477
driverId_4.0-num_slow_corners      -0.229416       0.072550
driverId_1.0-strt_len_min          -0.229416       0.136317
driverId_848.0-num_fast_corners    -0.229416       0.162843
