[DRIVER]: NOR [PRED]: [[1.73]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_864.0-num_slow_corners    -0.229416       0.077560
driverId_862.0-strt_len_min        -0.229416       0.103969
driverId_4.0-num_slow_corners      -0.229416       0.184860
driverId_860.0-num_fast_corners     4.358899       0.776659
driverId_860.0-strt_len_min         4.358899       0.986456
prev_driver_points_prop            -0.833306       1.279044

[DRIVER]: HAD [PRED]: [[10.77]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_construct_points_prop         -0.672859      -0.641076
driverId_848.0-num_slow_corners    -0.229416      -0.161230
driverId_807.0-corner_spd_min      -0.229416      -0.155745
driverId_832.0-strt_len_median     -0.229416      -0.149365
driverId_852.0-num_slow_corners    -0.229416      -0.116165
driverId_839.0-num_slow_corners    -0.229416      -0.112870
driverId_807.0-num_slow_corners    -0.229416      -0.106444
driverId_840.0-strt_len_min        -0.229416      -0.089434
driverId_807.0-strt_len_min        -0.229416      -0.087536
driverId_860.0-num_fast_corners    -0.229416      -0.086210
driverId_861.0-num_med_corners     -0.229416      -0.083365
driverId_842.0-num_slow_corners    -0.229416      -0.081924
driverId_839.0-strt_len_min        -0.229416      -0.080094
driverId_860.0-strt_len_min        -0.229416      -0.070833
driverId_832.0-strt_len_min        -0.229416      -0.065367
driverId_852.0-strt_len_min        -0.229416      -0.046090
driverId_852.0-num_fast_corners    -0.229416      -0.040164
driverId_840.0-num_fast_corners    -0.229416      -0.027653
driverId_4.0-num_fast_corners      -0.229416      -0.016935
driverId_862.0-num_fast_corners    -0.229416      -0.012952
driverId_842.0-num_fast_corners    -0.229416      -0.012090
driverId_1.0-num_med_corners       -0.229416      -0.002157
driverId_864.0-num_fast_corners    -0.229416       0.001672
driverId_842.0-strt_len_min        -0.229416       0.003297
driverId_864.0-strt_len_min        -0.229416       0.013228
driverId_862.0-strt_len_min        -0.229416       0.048362
driverId_864.0-num_slow_corners    -0.229416       0.070240
driverId_1.0-strt_len_min          -0.229416       0.075547
driverId_840.0-num_slow_corners    -0.229416       0.099601
driverId_848.0-num_fast_corners    -0.229416       0.114162
driverId_4.0-num_slow_corners      -0.229416       0.161677
prev_driver_points_prop            -0.650620       2.202020

[DRIVER]: GAS [PRED]: [[14.05]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_842.0-strt_len_min         4.358899      -0.495630
driverId_842.0-num_fast_corners     4.358899      -0.168133
driverId_807.0-corner_spd_min      -0.229416      -0.132056
driverId_852.0-num_slow_corners    -0.229416      -0.118526
driverId_848.0-num_slow_corners    -0.229416      -0.100242
driverId_807.0-strt_len_min        -0.229416      -0.079424
driverId_807.0-num_slow_corners    -0.229416      -0.075726
driverId_832.0-strt_len_median     -0.229416      -0.065527
driverId_840.0-strt_len_min        -0.229416      -0.057555
driverId_839.0-num_slow_corners    -0.229416      -0.051861
driverId_832.0-strt_len_min        -0.229416      -0.041439
driverId_860.0-num_fast_corners    -0.229416      -0.040001
driverId_860.0-strt_len_min        -0.229416      -0.037908
driverId_861.0-num_med_corners     -0.229416      -0.037006
driverId_852.0-strt_len_min        -0.229416      -0.029059
driverId_839.0-strt_len_min        -0.229416      -0.026608
driverId_840.0-num_fast_corners    -0.229416      -0.024851
driverId_862.0-num_fast_corners    -0.229416      -0.021899
driverId_4.0-num_fast_corners      -0.229416      -0.014166
driverId_852.0-num_fast_corners    -0.229416      -0.012635
driverId_864.0-num_fast_corners    -0.229416      -0.006317
driverId_1.0-num_med_corners       -0.229416      -0.002157
driverId_864.0-strt_len_min        -0.229416       0.005079
driverId_864.0-num_slow_corners    -0.229416       0.028030
driverId_840.0-num_slow_corners    -0.229416       0.051884
driverId_862.0-strt_len_min        -0.229416       0.061427
driverId_1.0-strt_len_min          -0.229416       0.084900
driverId_842.0-num_slow_corners     4.358899       0.098852
driverId_848.0-num_fast_corners    -0.229416       0.116147
driverId_4.0-num_slow_corners      -0.229416       0.142623
prev_construct_points_prop         -0.820298       0.633090
prev_driver_points_prop            -0.674978       4.240802

[DRIVER]: STR [PRED]: [[12.95]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
prev_construct_points_prop         -0.625946      -0.377110
driverId_848.0-num_slow_corners    -0.229416      -0.156931
driverId_807.0-corner_spd_min      -0.229416      -0.150916
driverId_852.0-num_slow_corners    -0.229416      -0.109597
driverId_807.0-num_slow_corners    -0.229416      -0.109186
driverId_839.0-num_slow_corners    -0.229416      -0.094623
driverId_832.0-strt_len_median     -0.229416      -0.086453
driverId_807.0-strt_len_min        -0.229416      -0.081222
driverId_861.0-num_med_corners     -0.229416      -0.066231
driverId_832.0-strt_len_min        -0.229416      -0.055269
driverId_839.0-strt_len_min        -0.229416      -0.052389
driverId_860.0-num_fast_corners    -0.229416      -0.048858
driverId_852.0-strt_len_min        -0.229416      -0.043792
driverId_842.0-num_slow_corners    -0.229416      -0.041712
driverId_852.0-num_fast_corners    -0.229416      -0.037635
driverId_860.0-strt_len_min        -0.229416      -0.030013
driverId_4.0-num_fast_corners      -0.229416      -0.020972
driverId_864.0-num_fast_corners    -0.229416       0.005277
driverId_842.0-strt_len_min        -0.229416       0.007074
driverId_862.0-num_fast_corners    -0.229416       0.011511
driverId_842.0-num_fast_corners    -0.229416       0.014209
driverId_864.0-strt_len_min        -0.229416       0.020999
driverId_862.0-strt_len_min        -0.229416       0.030121
driverId_864.0-num_slow_corners    -0.229416       0.050251
driverId_1.0-strt_len_min          -0.229416       0.055167
driverId_848.0-num_fast_corners    -0.229416       0.112438
driverId_4.0-num_slow_corners      -0.229416       0.154549
driverId_840.0-num_slow_corners     4.358899       0.266380
driverId_840.0-num_fast_corners     4.358899       0.422858
driverId_840.0-strt_len_min         4.358899       0.872772
prev_driver_points_prop            -0.638441       2.263410

[DRIVER]: COL [PRED]: [[13.45]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_807.0-corner_spd_min      -0.229416      -0.230629
driverId_848.0-num_slow_corners    -0.229416      -0.127765
driverId_839.0-num_slow_corners    -0.229416      -0.110910
driverId_807.0-num_slow_corners    -0.229416      -0.109360
driverId_839.0-strt_len_min        -0.229416      -0.097753
driverId_852.0-num_slow_corners    -0.229416      -0.090799
driverId_807.0-strt_len_min        -0.229416      -0.084025
driverId_861.0-num_med_corners     -0.229416      -0.082698
driverId_1.0-num_med_corners       -0.229416      -0.040292
driverId_840.0-strt_len_min        -0.229416      -0.039426
driverId_842.0-num_slow_corners    -0.229416      -0.035599
driverId_832.0-strt_len_min        -0.229416      -0.034803
driverId_832.0-strt_len_median     -0.229416      -0.032565
driverId_860.0-strt_len_min        -0.229416      -0.023651
driverId_840.0-num_fast_corners    -0.229416      -0.023595
driverId_852.0-strt_len_min        -0.229416      -0.018176
driverId_860.0-num_fast_corners    -0.229416      -0.016524
driverId_852.0-num_fast_corners    -0.229416      -0.012635
driverId_862.0-num_fast_corners    -0.229416      -0.005705
driverId_4.0-num_fast_corners      -0.229416      -0.001005
driverId_864.0-strt_len_min        -0.229416       0.000820
driverId_864.0-num_fast_corners    -0.229416       0.009767
driverId_864.0-num_slow_corners    -0.229416       0.027333
driverId_842.0-num_fast_corners    -0.229416       0.047420
driverId_842.0-strt_len_min        -0.229416       0.057496
driverId_862.0-strt_len_min        -0.229416       0.060407
driverId_840.0-num_slow_corners    -0.229416       0.070448
driverId_848.0-num_fast_corners    -0.229416       0.117563
driverId_1.0-strt_len_min          -0.229416       0.146935
driverId_4.0-num_slow_corners      -0.229416       0.161370
prev_construct_points_prop         -0.820298       0.971907
prev_driver_points_prop             0.000000       2.770554

[DRIVER]: TSU [PRED]: [[11.66]] [BIAS]: [10.22589474]
---                                 Input Value  Feature Score
driverId_852.0-num_fast_corners     4.358899      -0.626229
driverId_832.0-strt_len_median     -0.229416      -0.139982
driverId_860.0-strt_len_min        -0.229416      -0.112999
driverId_860.0-num_fast_corners    -0.229416      -0.104621
driverId_864.0-num_fast_corners    -0.229416      -0.103545
driverId_840.0-strt_len_min        -0.229416      -0.097362
driverId_852.0-strt_len_min         4.358899      -0.090921
driverId_852.0-num_slow_corners     4.358899      -0.063817
driverId_832.0-strt_len_min        -0.229416      -0.042853
driverId_807.0-strt_len_min        -0.229416      -0.039856
driverId_807.0-corner_spd_min      -0.229416      -0.035979
driverId_807.0-num_slow_corners    -0.229416      -0.028246
driverId_848.0-num_slow_corners    -0.229416      -0.028101
driverId_840.0-num_fast_corners    -0.229416      -0.027100
driverId_861.0-num_med_corners     -0.229416      -0.020768
driverId_839.0-strt_len_min        -0.229416      -0.020490
driverId_842.0-num_slow_corners    -0.229416      -0.019038
driverId_862.0-num_fast_corners    -0.229416      -0.018522
driverId_839.0-num_slow_corners    -0.229416      -0.010157
