[DRIVER]: HUL [PRED]: [[11.89]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_807.0-num_fast_corners     4.358899      -0.520560
driverId_859.0-num_fast_corners    -0.229416      -0.192022
driverId_852.0-strt_len_min        -0.229416      -0.173664
driverId_832.0-strt_len_min        -0.229416      -0.135466
driverId_852.0-num_slow_corners    -0.229416      -0.131950
driverId_832.0-strt_len_median     -0.229416      -0.123997
driverId_848.0-num_med_corners     -0.229416      -0.084700
driverId_860.0-num_slow_corners    -0.229416      -0.066650
driverId_859.0-num_med_corners     -0.229416      -0.063719
driverId_861.0-strt_len_min        -0.229416      -0.059599
driverId_842.0-num_slow_corners    -0.229416      -0.048443
driverId_839.0-num_slow_corners    -0.229416      -0.047329
driverId_832.0-num_fast_corners    -0.229416      -0.030467
driverId_830.0-strt_len_min        -0.229416      -0.013820
driverId_861.0-num_fast_corners    -0.229416      -0.012830
driverId_848.0-strt_len_min        -0.229416      -0.001865
driverId_846.0-num_slow_corners    -0.229416      -0.001823
driverId_844.0-num_slow_corners    -0.229416      -0.001381
driverId_844.0-num_med_corners     -0.229416       0.000979
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_830.0-num_fast_corners    -0.229416       0.007919
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_861.0-num_med_corners     -0.229416       0.021214
driverId_847.0-num_med_corners     -0.229416       0.028010
driverId_860.0-num_fast_corners    -0.229416       0.035190
driverId_4.0-num_fast_corners      -0.229416       0.046899
driverId_1.0-strt_len_min          -0.229416       0.058755
driverId_830.0-num_med_corners     -0.229416       0.064316
driverId_842.0-num_fast_corners    -0.229416       0.083514
driverId_844.0-strt_len_median     -0.229416       0.085608
driverId_848.0-num_fast_corners    -0.229416       0.109151
driverId_840.0-strt_len_min        -0.229416       0.144468
driverId_4.0-num_slow_corners      -0.229416       0.219920
driverId_864.0-num_slow_corners    -0.229416       0.275304
prev_driver_wins                   -0.410152       0.367148
prev_construct_position             0.174078       1.604417

[DRIVER]: OCO [PRED]: [[14.82]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_859.0-num_fast_corners    -0.229416      -0.186224
driverId_860.0-num_slow_corners    -0.229416      -0.128621
driverId_852.0-num_slow_corners    -0.229416      -0.101825
driverId_832.0-strt_len_median     -0.229416      -0.092131
driverId_852.0-strt_len_min        -0.229416      -0.084514
driverId_848.0-num_med_corners     -0.229416      -0.083069
driverId_832.0-strt_len_min        -0.229416      -0.080875
driverId_859.0-num_med_corners     -0.229416      -0.058518
driverId_861.0-strt_len_min        -0.229416      -0.028357
driverId_842.0-num_slow_corners    -0.229416      -0.023851
driverId_861.0-num_fast_corners    -0.229416      -0.010800
driverId_830.0-strt_len_min        -0.229416      -0.006130
driverId_832.0-num_fast_corners    -0.229416      -0.004192
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.008172
driverId_848.0-strt_len_min        -0.229416       0.011511
driverId_861.0-num_med_corners     -0.229416       0.013968
driverId_830.0-num_fast_corners    -0.229416       0.014646
driverId_847.0-num_med_corners     -0.229416       0.017614
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_1.0-strt_len_min          -0.229416       0.036583
driverId_830.0-num_med_corners     -0.229416       0.062879
driverId_844.0-strt_len_median     -0.229416       0.080125
driverId_860.0-num_fast_corners    -0.229416       0.095996
driverId_848.0-num_fast_corners    -0.229416       0.114612
driverId_4.0-num_fast_corners      -0.229416       0.132320
driverId_864.0-num_slow_corners    -0.229416       0.182252
driverId_807.0-num_fast_corners    -0.229416       0.221306
driverId_840.0-strt_len_min        -0.229416       0.231377
driverId_4.0-num_slow_corners      -0.229416       0.231501
driverId_842.0-num_fast_corners    -0.229416       0.265663
prev_driver_wins                   -0.410152       0.367148
driverId_839.0-num_slow_corners     4.358899       0.839201
prev_construct_position             1.218544       2.334762

[DRIVER]: SAI [PRED]: [[16.01]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_859.0-num_fast_corners    -0.229416      -0.180794
driverId_848.0-num_med_corners     -0.229416      -0.105870
driverId_852.0-num_slow_corners    -0.229416      -0.094778
driverId_860.0-num_slow_corners    -0.229416      -0.078988
driverId_852.0-strt_len_min        -0.229416      -0.058487
driverId_859.0-num_med_corners     -0.229416      -0.049152
driverId_861.0-strt_len_min        -0.229416      -0.044648
driverId_842.0-num_slow_corners    -0.229416      -0.041193
driverId_839.0-num_slow_corners    -0.229416      -0.017744
driverId_830.0-strt_len_min        -0.229416      -0.008040
driverId_861.0-num_fast_corners    -0.229416      -0.004683
driverId_846.0-num_slow_corners    -0.229416      -0.001823
driverId_830.0-num_fast_corners    -0.229416      -0.001808
driverId_848.0-strt_len_min        -0.229416       0.000018
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.008172
driverId_861.0-num_med_corners     -0.229416       0.014919
driverId_860.0-num_fast_corners    -0.229416       0.017109
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_847.0-num_med_corners     -0.229416       0.020665
driverId_1.0-strt_len_min          -0.229416       0.038376
driverId_4.0-num_fast_corners      -0.229416       0.049914
driverId_830.0-num_med_corners     -0.229416       0.066694
driverId_844.0-strt_len_median     -0.229416       0.079102
driverId_848.0-num_fast_corners    -0.229416       0.123950
driverId_842.0-num_fast_corners    -0.229416       0.126167
driverId_840.0-strt_len_min        -0.229416       0.138489
driverId_807.0-num_fast_corners    -0.229416       0.147910
driverId_4.0-num_slow_corners      -0.229416       0.208005
driverId_864.0-num_slow_corners    -0.229416       0.249153
driverId_832.0-num_fast_corners     4.358899       0.361063
prev_driver_wins                   -0.410152       0.367148
driverId_832.0-strt_len_median      4.358899       0.416080
prev_construct_position            -0.174078       1.646994
driverId_832.0-strt_len_min         4.358899       2.170610

[DRIVER]: BEA [PRED]: [[11.53]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_860.0-num_fast_corners     4.358899      -1.030012
driverId_860.0-num_slow_corners     4.358899      -0.844025
driverId_859.0-num_fast_corners    -0.229416      -0.186154
driverId_839.0-num_slow_corners    -0.229416      -0.157627
driverId_852.0-num_slow_corners    -0.229416      -0.118905
driverId_852.0-strt_len_min        -0.229416      -0.110308
driverId_832.0-strt_len_median     -0.229416      -0.096210
driverId_832.0-strt_len_min        -0.229416      -0.093890
driverId_848.0-num_med_corners     -0.229416      -0.080126
driverId_859.0-num_med_corners     -0.229416      -0.068924
driverId_842.0-num_slow_corners    -0.229416      -0.053786
driverId_861.0-strt_len_min        -0.229416      -0.030496
driverId_832.0-num_fast_corners    -0.229416      -0.016273
driverId_861.0-num_fast_corners    -0.229416      -0.009066
driverId_830.0-strt_len_min        -0.229416      -0.007237
driverId_844.0-num_slow_corners    -0.229416      -0.001381
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_848.0-strt_len_min        -0.229416       0.004347
driverId_844.0-num_med_corners     -0.229416       0.007329
driverId_830.0-num_fast_corners    -0.229416       0.014646
driverId_861.0-num_med_corners     -0.229416       0.014743
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_847.0-num_med_corners     -0.229416       0.019137
driverId_1.0-strt_len_min          -0.229416       0.038791
driverId_830.0-num_med_corners     -0.229416       0.065746
driverId_844.0-strt_len_median     -0.229416       0.080125
driverId_4.0-num_fast_corners      -0.229416       0.110631
driverId_848.0-num_fast_corners    -0.229416       0.121815
driverId_864.0-num_slow_corners    -0.229416       0.154710
driverId_840.0-strt_len_min        -0.229416       0.166904
driverId_4.0-num_slow_corners      -0.229416       0.233330
driverId_842.0-num_fast_corners    -0.229416       0.243146
driverId_807.0-num_fast_corners    -0.229416       0.298994
prev_driver_wins                   -0.410152       0.367148
prev_construct_position             1.218544       2.045405

[DRIVER]: TSU [PRED]: [[13.35]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_859.0-num_fast_corners    -0.229416      -0.197726
driverId_848.0-num_med_corners     -0.229416      -0.125369
driverId_832.0-strt_len_median     -0.229416      -0.107195
driverId_832.0-strt_len_min        -0.229416      -0.089331
driverId_859.0-num_med_corners     -0.229416      -0.084362
driverId_860.0-num_slow_corners    -0.229416      -0.077356
driverId_839.0-num_slow_corners    -0.229416      -0.074595
driverId_842.0-num_slow_corners    -0.229416      -0.052578
driverId_861.0-strt_len_min        -0.229416      -0.044578
driverId_830.0-strt_len_min        -0.229416      -0.010685
driverId_861.0-num_fast_corners    -0.229416      -0.010015
driverId_846.0-num_slow_corners    -0.229416      -0.001823
driverId_832.0-num_fast_corners    -0.229416      -0.001613
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.008172
driverId_830.0-num_fast_corners    -0.229416       0.010689
driverId_848.0-strt_len_min        -0.229416       0.015489
driverId_861.0-num_med_corners     -0.229416       0.017967
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_847.0-num_med_corners     -0.229416       0.026488
driverId_1.0-strt_len_min          -0.229416       0.050198
driverId_860.0-num_fast_corners    -0.229416       0.052345
driverId_830.0-num_med_corners     -0.229416       0.060076
driverId_4.0-num_fast_corners      -0.229416       0.079523
driverId_844.0-strt_len_median     -0.229416       0.083130
driverId_848.0-num_fast_corners    -0.229416       0.107797
driverId_842.0-num_fast_corners    -0.229416       0.146450
driverId_852.0-num_slow_corners     4.358899       0.172634
driverId_840.0-strt_len_min        -0.229416       0.190102
driverId_4.0-num_slow_corners      -0.229416       0.206145
driverId_864.0-num_slow_corners    -0.229416       0.216959
driverId_807.0-num_fast_corners    -0.229416       0.228049
prev_driver_wins                   -0.410152       0.367148
driverId_852.0-strt_len_min         4.358899       0.582075
prev_construct_position             0.522233       1.158319

[DRIVER]: COL [PRED]: [[18.17661219]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_859.0-num_fast_corners    -0.229416      -0.129396
driverId_860.0-num_slow_corners    -0.229416      -0.079928
driverId_832.0-strt_len_median     -0.229416      -0.064868
driverId_848.0-num_med_corners     -0.229416      -0.038850
driverId_832.0-strt_len_min        -0.229416      -0.038421
driverId_852.0-strt_len_min        -0.229416      -0.025235
driverId_861.0-strt_len_min        -0.229416      -0.023923
driverId_852.0-num_slow_corners    -0.229416      -0.015333
driverId_859.0-num_med_corners     -0.229416      -0.014285
driverId_830.0-strt_len_min        -0.229416      -0.006130
driverId_861.0-num_fast_corners    -0.229416      -0.000806
driverId_832.0-num_fast_corners    -0.229416       0.000617
driverId_846.0-strt_len_min        -0.229416       0.001179
driverId_844.0-num_med_corners     -0.229416       0.008172
driverId_830.0-num_fast_corners    -0.229416       0.012109
driverId_861.0-num_med_corners     -0.229416       0.015875
driverId_847.0-num_med_corners     -0.229416       0.015895
driverId_1.0-num_fast_corners      -0.229416       0.018020
driverId_848.0-strt_len_min        -0.229416       0.026140
driverId_1.0-strt_len_min          -0.229416       0.029997
driverId_839.0-num_slow_corners    -0.229416       0.035088
driverId_860.0-num_fast_corners    -0.229416       0.041623
driverId_830.0-num_med_corners     -0.229416       0.063567
driverId_844.0-strt_len_median     -0.229416       0.075051
driverId_848.0-num_fast_corners    -0.229416       0.129582
driverId_807.0-num_fast_corners    -0.229416       0.175997
driverId_840.0-strt_len_min        -0.229416       0.179642
driverId_4.0-num_fast_corners      -0.229416       0.192452
driverId_864.0-num_slow_corners    -0.229416       0.198804
driverId_842.0-num_slow_corners    -0.229416       0.312532
driverId_4.0-num_slow_corners      -0.229416       0.320964
prev_driver_wins                   -0.410152       0.368400
driverId_842.0-num_fast_corners    -0.229416       0.841118
prev_construct_position             1.566699       5.122690

[DRIVER]: BOR [PRED]: [[9.43]] [BIAS]: [10.42827338]
---                                 Input Value  Feature Score
driverId_864.0-num_slow_corners     4.358899      -1.431193
driverId_859.0-num_fast_corners    -0.229416      -0.158239
driverId_852.0-strt_len_min        -0.229416      -0.137610
driverId_860.0-num_slow_corners    -0.229416      -0.114158
driverId_832.0-strt_len_min        -0.229416      -0.111750
driverId_832.0-strt_len_median     -0.229416      -0.095428
driverId_852.0-num_slow_corners    -0.229416      -0.085193
driverId_848.0-num_med_corners     -0.229416      -0.071739
driverId_859.0-num_med_corners     -0.229416      -0.067877
driverId_839.0-num_slow_corners    -0.229416      -0.052679
driverId_861.0-strt_len_min        -0.229416      -0.050683
driverId_832.0-num_fast_corners    -0.229416      -0.049423
driverId_842.0-num_slow_corners    -0.229416      -0.043615
driverId_830.0-strt_len_min        -0.229416      -0.011691
